date,league,home,away,market,selection,line,odds_open,stake,result,pnl,equity,p_model,p_mkt
2025-08-31,F1,Angers,Rennes,1X2,H,,3.4,39.15426517168255,LOSS,-39.15426517168255,939.7023641203813,1.0,0.2785145888594165
2025-08-31,F1,Monaco,Strasbourg,AH,Home,-1.0,1.9,5.067179770345824,WIN,4.560461793311241,944.2628259136925,0.6284861421622381,
2025-08-31,F1,Lyon,Marseille,1X2,H,,2.63,37.7705130365477,WIN,61.565936249572744,1005.8287621632652,1.0,0.35938186319530413
2025-08-31,D1,FC Koln,Freiburg,1X2,A,,2.8,7.823407825221883,LOSS,-7.823407825221883,998.0053543380433,0.48214757442474365,0.33938294010889286
2025-08-31,I1,Lazio,Verona,OU2.5,Over,2.5,1.93,5.277892657138979,WIN,4.90844017113925,1002.9137945091825,0.5818426209564772,0.5
2025-08-31,SP1,Espanol,Osasuna,1X2,H,,2.38,9.054964513576195,WIN,12.495851028735148,1015.4096455379176,0.5510456562042236,0.3981697037810067
2025-08-31,SP1,Betis,Ath Bilbao,1X2,D,,3.1,17.5474464194867,LOSS,-17.5474464194867,997.8621991184309,0.6152452826499939,0.30778515389257693
2025-08-31,SP1,Celta,Villarreal,1X2,D,,3.5,17.045420959886354,WIN,42.613552399715886,1040.4757515181468,0.5907489061355591,0.2722772277227723
2025-09-12,D1,Leverkusen,Ein Frankfurt,OU2.5,Under,2.5,2.75,7.470126256352276,LOSS,-7.470126256352276,1033.0056252617944,0.4778561496729848,0.3436754176610979
2025-09-12,SP1,Sevilla,Elche,OU2.5,Over,2.5,2.2,5.906552502348323,WIN,7.087863002817989,1040.0934882646125,0.532515889352025,0.43152454780361754
2025-09-12,F1,Marseille,Lorient,OU2.5,Under,2.5,2.63,4.942865684384868,LOSS,-4.942865684384868,1035.1506225802275,0.45386212048354424,0.36319612590799033
2025-09-13,F1,Nice,Nantes,AH,Home,-0.75,1.9,16.577306004259434,WIN,14.91957540383349,1050.070197984061,0.8297463409699597,
2025-09-13,E0,Fulham,Leeds,AH,Home,-0.5,1.95,7.531742034949962,WIN,7.155154933202464,1057.2253529172635,0.6525944147634306,
2025-09-13,E0,Crystal Palace,Sunderland,1X2,D,,3.75,21.15644747231661,WIN,58.18023054887068,1115.4055834661342,0.6335403919219971,0.2547834843907351
2025-09-13,D1,Freiburg,Stuttgart,1X2,A,,2.35,13.102312000312608,LOSS,-13.102312000312608,1102.3032714658216,0.5942342281341553,0.40598872253548507
2025-09-13,D1,Union Berlin,Hoffenheim,1X2,A,,2.7,18.144454081999314,WIN,30.845571939398837,1133.1488434052203,0.629470705986023,0.353035143769968
2025-09-13,D1,Bayern Munich,Hamburg,OU2.5,Under,2.5,4.33,6.055347257044666,LOSS,-6.055347257044666,1127.0934961481757,0.33368898256848817,0.2198198198198198
2025-09-13,F1,Auxerre,Monaco,1X2,D,,4.33,23.10806877149717,LOSS,-23.10806877149717,1103.9854273766787,0.6251318454742432,0.2187107004210181
2025-09-13,I1,Fiorentina,Napoli,1X2,D,,3.1,17.059648867437645,LOSS,-17.059648867437645,1086.9257785092411,0.5842810273170471,0.306420233463035
2025-09-13,I1,Juventus,Inter,1X2,D,,3.0,30.530417174765326,LOSS,-30.530417174765326,1056.3953613344759,0.8014796376228333,0.3142857142857143
